id,marca,modelo,año,moderno,cilindrada,estilo,combustible,transmisión,estado,kilometraje,puertas,pago impuesto,negociable,recibe vehículo,fecha ingreso,veces visto,comentarios,tiene imagen,precio,precio_sugerido,precio_sugerido_generico,difrencia generica
32712041,Nissan,XTERRA,2002,Regular,"2,400 cc",Todo Terreno 4x2,Gasolina,Manual,Excelente,100K-200K,5,SI,SI,NO,28 de Julio del 2020,310,Estado excelente económico,Si,4100000,0,4684090,0.12469657927153406
67853473,Toyota,COROLLA,2005,Regular,"1,800 cc",Sedán,Gasolina,Automática/Dual,Excelente,50K-100K,4,SI,NO,NO,29 de Julio del 2020,238,VERSION NACIONAL EXCELENTE ESTADO,Si,4100000,0,4583648,0.10551595585001292
40022454,Toyota,YARIS,2007,Regular,"1,500 cc",Sedán,Gasolina,Automática/Dual,Muy Bueno,200K-500K,5,SI,SI,NO,29 de Julio del 2020,251,Perfecto estado,Si,4100000,0,3691111,-0.11077667401495106
91884211,Nissan,ALMERA,2010,Regular,"1,600 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,NO,31 de Julio del 2020,221,exc estado rtv al dia,Si,4100000,0,3376587,-0.21424385037317267
98150235,Hyundai,TERRACAN,2006,Regular,"2,500 cc",Todo Terreno 4x4,Diesel,Manual,Excelente,<20K,4,SI,SI,SI,31 de Julio del 2020,539,Muy linda y cuidada se recibe menor valor,Si,4100000,0,4083333,-0.004081714618915479
91571471,Toyota,COROLLA,2005,Regular,"1,800 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,4,SI,SI,NO,01 de Agosto del 2020,162,El vehículo se encuentra en perfecto estado para su año se vende por que ya no se esta utilizando.,Si,4100000,0,4105729,0.001395367302615443
52254335,Nissan,XTERRA XE,2002,Regular,"2,400 cc",Todo Terreno 4x2,Gasolina,Manual,Excelente,200K-500K,4,SI,SI,NO,03 de Agosto del 2020,162,Muchos extras muy cuidado,Si,4100000,0,4480000,0.08482142857142858
20427219,Honda,CIVIC LX,2008,Regular,"1,800 cc",Sedán,Gasolina,Manual,Excelente,100K-200K,2,SI,SI,NO,04 de Agosto del 2020,207,Bajo km-recien rtv en blanco-exc llantas-coleta y aros de SI-Radio pantalla-Planta y bajo-halogenos,Si,4100000,0,4020936,-0.019663083421372535
19860341,Jeep,GRAND CHEROKEE,2004,Regular,"4,000 cc",Todo Terreno 4x4,Gasolina,Automática/Dual,Bueno,200K-500K,5,SI,NO,NO,10 de Julio del 2020,4550,PARA PONER AL DIA,Si,1500000,0,5183333,0.7106109138656537
65493275,Hyundai,ELANTRA,1998,Viejo,"1,800 cc",Sedán,Gasolina,Manual,Muy Bueno,100K-200K,4,SI,SI,SI,14 de Julio del 2020,570,millon a la plata,Si,1500000,0,1368125,-0.09639104613978985
