"id","marca","modelo","año","moderno","cilindrada","estilo","combustible","transmisión","estado","kilometraje","puertas","pago impuesto","negociable","recibe vehículo","fecha ingreso","veces visto","comentarios","tiene imagen","precio"
"51325946","Ford","FOCUS","2016","Moderno","2,000 cc","Hatchback","Gasolina","Automática/Dual","Excelente","50K-100K","5","SI","SI","SI","30 de Julio del 2020","773","Excelente estado. Comprado de agencia. Full extra.","Si","8950000"
"36189751","Mitsubishi","MONTERO GLS","2008","Regular","2,800 cc","Todo Terreno 4x4","Diesel","Manual","Excelente","100K-200K","5","SI","SI","NO","04 de Agosto del 2020","952","Excelente estado. Siete pasajeros. Camara reversa Pantalla.","Si","8950000"
"2931191","Toyota","COROLLA S","2016","Moderno","1,800 cc","Sedán","Gasolina","Manual","Excelente","20K-50K","4","SI","SI","SI","14 de Julio del 2020","1561","Perfecto estado versión S full, recibo financio, garantía de agencia ambacar","Si","8962305"
"54399644","Suzuki","GRAND VITARA","2012","Moderno","2,400 cc","Todo Terreno 4x2","Gasolina","Manual","Excelente","50K-100K","5","SI","SI","NO","28 de Julio del 2020","124","EXCELENTE ESTADO UN UNICO RASPON EN GUARDABARRO PINTURA IMPECABLE","Si","8950000"
"38739985","Kia","SPORTAGE","2015","Moderno","2,000 cc","Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente","50K-100K","5","SI","SI","NO","30 de Julio del 2020","173","","Si","8950000"
"3173926","Kia","SPORTAGE","2015","Moderno","2,400 cc","Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente","100K-200K","4","SI","SI","NO","06 de Agosto del 2020","122","IMPECABLE,COMO NUEVO,TITULO LIMPIO,CERO ACCIDENTES, LE HACEMOS EL CARFAX","Si","8950000"
"1655167","Toyota","HILUX","2004","Regular","2,800 cc","Pickup 4x4","Diesel","Manual","Muy Bueno","100K-200K","4","SI","NO","SI","14 de Agosto del 2020","96","Visítenos en San Juan de Tibás cruce Llorente y Colima.-Vehiccculo en muy buen estado.-","Si","8950000"
"93426356","Hyundai","STAREX H1","2011","Moderno","2,500 cc","Microbús/Minivan","Diesel","Automática/Dual","Excelente","20K-50K","4","SI","SI","SI","27 de Mayo del 2020","796","VEHICULO PARA USO FAMILIAR O DE TRABAJO  EXCELENTE ESTADO  PARA INSCRIBIR","Si","8975000"
"74472901","Volkswagen","JETTA GLI","2013","Moderno","2,000 cc","Sedán","Gasolina","Automática/Dual","Excelente","100K-200K","5","SI","SI","SI","10 de Junio del 2020","968","Exc estado RTV al dia llantas nuevas","Si","8975000"
"2690829","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","31 de Julio del 2020","142","SEDAN","Si","8983200"
"1226223","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","31 de Julio del 2020","123","SEDAN","Si","8983200"
"9002429","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","31 de Julio del 2020","136","SEDAN","Si","8983200"
"4352773","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","31 de Julio del 2020","147","SEDAN","Si","8983200"
"5287133","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","31 de Julio del 2020","148","SEDAN","Si","8983200"
"3859607","Nissan","VERSA","2018","Moderno","1,600 cc","Sedán","Gasolina","Automática/Dual","Excelente","20K-50K","4","SI","NO","NO","06 de Agosto del 2020","107","SEDAN","Si","8983200"
"69360901","Ford","EXPLORER","2011","Moderno","3,500 cc","Todo Terreno 4x2","Gasolina","Automática/Dual","Excelente","100K-200K","5","SI","SI","NO","09 de Julio del 2020","1768","OPORTUNIDAD!-mantenimiento de agencia-rápido y confortable-full extras-negociable -- No recibo","Si","8990000"
"3322053","Nissan","NAVARRA LE","2010","Regular","2,500 cc","Pickup 4x4","Diesel","Automática/Dual","Excelente","100K-200K","5","SI","SI","SI","15 de Agosto del 2020","784","FULL EXTRA RECIBO Y FINANCIO  CUATRO X CUATRO","Si","8990000"
